Year,week,week_ending,pct_planted
2005,15,2005-04-17,35.0
2005,16,2005-04-24,64.0
2005,17,2005-05-01,82.0
2005,18,2005-05-08,94.0
2005,19,2005-05-15,98.0
2005,20,2005-05-22,99.0
2006,14,2006-04-09,0.0
2006,15,2006-04-16,8.0
2006,16,2006-04-23,33.0
2006,17,2006-04-30,72.0
2006,18,2006-05-07,85.0
2006,19,2006-05-14,95.0
2006,20,2006-05-21,96.0
2006,21,2006-05-28,99.0
2007,14,2007-04-08,0.0
2007,15,2007-04-15,0.0
2007,16,2007-04-22,13.0
2007,17,2007-04-29,36.0
2007,18,2007-05-06,72.0
2007,19,2007-05-13,93.0
2007,20,2007-05-20,98.0
2007,21,2007-05-27,100.0
2008,15,2008-04-13,0.0
2008,16,2008-04-20,1.0
2008,17,2008-04-27,6.0
2008,18,2008-05-04,28.0
2008,19,2008-05-11,60.0
2008,20,2008-05-18,75.0
2008,21,2008-05-25,87.0
2008,22,2008-06-01,92.0
2009,16,2009-04-19,1.0
2009,17,2009-04-26,4.0
2009,18,2009-05-03,5.0
2009,19,2009-05-10,10.0
2009,20,2009-05-17,20.0
2009,21,2009-05-24,62.0
2009,22,2009-05-31,82.0
2009,23,2009-06-07,93.0
2010,14,2010-04-11,1.0
2010,15,2010-04-18,34.0
2010,16,2010-04-25,73.0
2010,17,2010-05-02,87.0
2010,18,2010-05-09,94.0
2010,19,2010-05-16,96.0
2010,20,2010-05-23,97.0
2010,21,2010-05-30,99.0
2011,14,2011-04-10,4.0
2011,15,2011-04-17,9.0
2011,16,2011-04-24,10.0
2011,17,2011-05-01,10.0
2011,18,2011-05-08,34.0
2011,19,2011-05-15,69.0
2011,20,2011-05-22,90.0
2011,21,2011-05-29,94.0
2011,22,2011-06-05,98.0
2011,23,2011-06-12,99.0
2012,13,2012-04-01,5.0
2012,14,2012-04-08,17.0
2012,15,2012-04-15,41.0
2012,16,2012-04-22,59.0
2012,17,2012-04-29,79.0
2012,18,2012-05-06,89.0
2012,19,2012-05-13,95.0
2012,20,2012-05-20,99.0
2013,15,2013-04-14,1.0
2013,16,2013-04-21,1.0
2013,17,2013-04-28,1.0
2013,18,2013-05-05,7.0
2013,19,2013-05-12,17.0
2013,20,2013-05-19,74.0
2013,21,2013-05-26,89.0
2013,22,2013-06-02,91.0
2013,23,2013-06-09,96.0
2014,15,2014-04-13,1.0
2014,16,2014-04-20,5.0
2014,17,2014-04-27,32.0
2014,18,2014-05-04,43.0
2014,19,2014-05-11,78.0
2014,20,2014-05-18,84.0
2014,21,2014-05-25,95.0
2014,22,2014-06-01,98.0
2014,23,2014-06-08,100.0
2015,14,2015-04-05,0.0
2015,15,2015-04-12,0.0
2015,16,2015-04-19,15.0
2015,17,2015-04-26,31.0
2015,18,2015-05-03,69.0
2015,19,2015-05-10,88.0
2015,20,2015-05-17,94.0
2015,21,2015-05-24,97.0
2015,22,2015-05-31,100.0
2015,23,2015-06-07,100.0
2015,24,2015-06-14,100.0
2016,13,2016-04-03,0.0
2016,14,2016-04-10,2.0
2016,15,2016-04-17,12.0
2016,16,2016-04-24,42.0
2016,17,2016-05-01,66.0
2016,18,2016-05-08,78.0
2016,19,2016-05-15,83.0
2016,20,2016-05-22,89.0
2016,21,2016-05-29,94.0
2016,22,2016-06-05,97.0
2017,14,2017-04-09,1.0
2017,15,2017-04-16,6.0
2017,16,2017-04-23,34.0
2017,17,2017-04-30,63.0
2017,18,2017-05-07,65.0
2017,19,2017-05-14,75.0
2017,20,2017-05-21,89.0
2017,21,2017-05-28,93.0
2017,22,2017-06-04,98.0
2018,13,2018-04-01,0.0
2018,14,2018-04-08,0.0
2018,15,2018-04-15,0.0
2018,16,2018-04-22,4.0
2018,17,2018-04-29,32.0
2018,18,2018-05-06,74.0
2018,19,2018-05-13,90.0
2018,20,2018-05-20,96.0
2018,21,2018-05-27,100.0
2018,22,2018-06-03,100.0
2018,23,2018-06-10,100.0
2019,13,2019-03-31,0.0
2019,14,2019-04-07,0.0
2019,15,2019-04-14,0.0
2019,16,2019-04-21,1.0
2019,17,2019-04-28,9.0
2019,18,2019-05-05,10.0
2019,19,2019-05-12,11.0
2019,20,2019-05-19,24.0
2019,21,2019-05-26,35.0
2019,22,2019-06-02,45.0
2019,23,2019-06-09,73.0
2019,24,2019-06-16,88.0
2019,25,2019-06-23,92.0
2019,26,2019-06-30,95.0
2020,15,2020-04-12,1.0
2020,16,2020-04-19,8.0
2020,17,2020-04-26,37.0
2020,18,2020-05-03,56.0
2020,19,2020-05-10,68.0
2020,20,2020-05-17,83.0
2020,21,2020-05-24,89.0
2020,22,2020-05-31,92.0
2020,23,2020-06-07,98.0
2021,13,2021-04-04,0.0
2021,14,2021-04-11,5.0
2021,15,2021-04-18,12.0
2021,16,2021-04-25,23.0
2021,17,2021-05-02,54.0
2021,18,2021-05-09,74.0
2021,19,2021-05-16,86.0
2021,20,2021-05-23,90.0
2021,21,2021-05-30,95.0
2022,13,2022-04-03,0.0
2022,14,2022-04-10,0.0
2022,15,2022-04-17,0.0
2022,16,2022-04-24,2.0
2022,17,2022-05-01,7.0
2022,18,2022-05-08,15.0
2022,19,2022-05-15,55.0
2022,20,2022-05-22,78.0
2022,21,2022-05-29,89.0
2022,22,2022-06-05,95.0
2022,23,2022-06-12,98.0
2023,13,2023-04-02,0.0
2023,14,2023-04-09,1.0
2023,15,2023-04-16,10.0
2023,16,2023-04-23,18.0
2023,17,2023-04-30,40.0
2023,18,2023-05-07,73.0
2023,19,2023-05-14,84.0
2023,20,2023-05-21,91.0
2023,21,2023-05-28,95.0
2023,22,2023-06-04,96.0
2024,12,2024-03-24,0.0
2024,13,2024-03-31,1.0
2024,14,2024-04-07,2.0
2024,15,2024-04-14,3.0
2024,16,2024-04-21,11.0
2024,17,2024-04-28,25.0
2024,18,2024-05-05,32.0
2024,19,2024-05-12,42.0
2024,20,2024-05-19,67.0
2024,21,2024-05-26,80.0
2024,22,2024-06-02,89.0
2024,23,2024-06-09,93.0
2024,24,2024-06-16,97.0
2025,13,2025-03-30,0.0
2025,14,2025-04-06,0.0
2025,15,2025-04-13,1.0
2025,16,2025-04-20,7.0
2025,17,2025-04-27,16.0
2025,18,2025-05-04,32.0
2025,19,2025-05-11,54.0
2025,20,2025-05-18,74.0
2025,21,2025-05-25,82.0
2025,22,2025-06-01,93.0
2025,23,2025-06-08,97.0
