field_id,acres,centroid_lat,centroid_lon,region
F001,87.22774858383657,39.38927741570394,-89.90027539257467,South
F002,54.752513578026125,39.93344200745407,-90.477913190747,Central
F003,101.83328840854354,39.087607531574456,-88.13922686749359,South
F004,108.79025518263126,39.308578984135096,-88.50544743022391,South
F005,40.0,40.36609790648491,-88.384503864121,North
F006,50.01471682297505,40.48952431181564,-88.1578129069341,North
F007,82.03470514648959,40.93501946486842,-89.12325267338498,North
F008,70.32922150437093,39.6516507162763,-88.79377641214131,South
F009,78.0206287625772,39.740919412069736,-90.08060900561702,Central
F010,58.40605543433634,39.939111622551614,-90.15640977939208,Central
F011,106.50122984037134,39.378942718168574,-88.49479111462858,South
F012,102.80551555615654,39.25984301067094,-89.08671138157061,South
F013,80.2944751514944,39.95140985245187,-88.80429168055643,Central
F014,116.08701920038573,39.45381869810177,-88.20500342775192,South
F015,92.29987303719844,40.33962798936502,-88.59584503999822,North
F016,58.28003379439069,39.87430383774466,-88.83926179802602,Central
F017,89.18844028879477,40.66535639211568,-88.82237851776375,North
F018,56.30824120555002,40.4005302040045,-89.58814970581216,North
F019,106.46614940819296,39.62473328276408,-90.40754649629618,South
F020,77.12960203277937,40.6645196027904,-89.18984783230292,North
F021,73.60481903316479,40.6095287149936,-89.8562459815414,North
F022,61.98788978146701,39.77495675806035,-89.27441406882609,Central
F023,120.0,39.57665620786049,-87.9397907801955,South
F024,74.38272734463212,40.36499100794995,-89.79818154240398,North
F025,67.6513190943133,39.27950496721862,-90.3250917749328,South
