sim,makespan,total_penalty,late_harvests,status,error
0,42.99999940542984,0.0,0.0,OK,
1,,,,INFEASIBLE,
2,42.999999995599985,0.0,0.0,OK,
3,,,,INFEASIBLE,
4,43.99999999549998,0.0,0.0,OK,
5,,,,INFEASIBLE,
6,,,,INFEASIBLE,
7,43.99999999549991,0.0,0.0,OK,
8,43.999999995499955,0.0,0.0,OK,
9,44.0,0.0,0.0,OK,
10,42.99999999559999,0.0,0.0,OK,
11,,,,INFEASIBLE,
12,,,,INFEASIBLE,
13,,,,INFEASIBLE,
14,,,,INFEASIBLE,
15,,,,INFEASIBLE,
16,43.99999997750025,0.0,0.0,OK,
17,43.0,0.0,0.0,OK,
18,42.99999999559994,0.0,0.0,OK,
19,43.0,0.0,0.0,OK,
20,,,,INFEASIBLE,
21,44.0,0.0,0.0,OK,
22,,,,INFEASIBLE,
23,43.999999995499984,0.0,0.0,OK,
24,,,,INFEASIBLE,
25,44.0,0.0,0.0,OK,
26,,,,INFEASIBLE,
27,43.999999995499955,0.0,0.0,OK,
28,,,,INFEASIBLE,
29,43.99999999549996,0.0,0.0,OK,
30,43.0,0.0,0.0,OK,
31,43.99999968281603,0.0,0.0,OK,
32,,,,INFEASIBLE,
33,,,,INFEASIBLE,
34,,,,INFEASIBLE,
35,42.99999999559976,0.0,0.0,OK,
36,,,,INFEASIBLE,
37,,,,INFEASIBLE,
38,,,,INFEASIBLE,
39,43.999999995499984,0.0,0.0,OK,
40,,,,INFEASIBLE,
41,,,,INFEASIBLE,
42,42.99999721178775,0.0,0.0,OK,
43,,,,INFEASIBLE,
44,43.999999995499856,0.0,0.0,OK,
45,,,,INFEASIBLE,
46,42.99999999559999,0.0,0.0,OK,
47,42.999999995599985,0.0,0.0,OK,
48,44.0,0.0,0.0,OK,
49,41.99999895963134,0.0,0.0,OK,
50,,,,INFEASIBLE,
51,,,,INFEASIBLE,
52,43.99999999549997,0.0,0.0,OK,
53,43.99999999549999,0.0,0.0,OK,
54,42.9999999867998,0.0,0.0,OK,
55,,,,INFEASIBLE,
56,,,,INFEASIBLE,
57,,,,INFEASIBLE,
58,,,,INFEASIBLE,
59,,,,INFEASIBLE,
60,,,,INFEASIBLE,
61,43.99999999549998,0.0,0.0,OK,
62,,,,INFEASIBLE,
63,44.0,0.0,0.0,OK,
64,,,,INFEASIBLE,
65,,,,INFEASIBLE,
66,43.99999901363545,0.0,0.0,OK,
67,42.99999999559992,0.0,0.0,OK,
68,,,,INFEASIBLE,
69,44.0,0.0,0.0,OK,
70,43.0,0.0,0.0,OK,
71,44.0,0.0,0.0,OK,
72,,,,INFEASIBLE,
73,,,,INFEASIBLE,
74,43.0,0.0,0.0,OK,
75,,,,INFEASIBLE,
76,,,,INFEASIBLE,
77,,,,INFEASIBLE,
78,,,,INFEASIBLE,
79,43.0,0.0,0.0,OK,
80,,,,INFEASIBLE,
81,,,,INFEASIBLE,
82,,,,INFEASIBLE,
83,43.0,0.0,0.0,OK,
84,,,,INFEASIBLE,
85,,,,INFEASIBLE,
86,42.999999995599964,0.0,0.0,OK,
87,,,,INFEASIBLE,
88,,,,INFEASIBLE,
89,,,,INFEASIBLE,
90,43.99999999549999,0.0,0.0,OK,
91,43.99999909179326,0.0,0.0,OK,
92,43.99999999549996,0.0,0.0,OK,
93,43.0,0.0,0.0,OK,
94,42.99999999559999,0.0,0.0,OK,
95,42.0,0.0,0.0,OK,
96,,,,ERROR,Unable to retrieve attribute 'X'
97,,,,INFEASIBLE,
98,43.0,0.0,0.0,OK,
99,,,,INFEASIBLE,
