field_id,plant_week,harvest_week,plant_week_continuous,harvest_week_continuous,penalty,status,objective_makespan
F001,18,36,18.0,36.0,0.0,2,38.0
F002,21,38,21.0,38.0,0.0,2,38.0
F003,20,37,20.0,37.0,0.0,2,38.0
F004,18,36,18.0,36.0,0.0,2,38.0
F005,21,38,21.0,38.0,0.0,2,38.0
F006,21,38,21.0,38.0,0.0,2,38.0
F007,20,36,20.0,36.0,0.0,2,38.0
F008,21,37,21.0,37.0,0.0,2,38.0
F009,19,36,19.0,36.0,0.0,2,38.0
F010,21,38,21.0,38.0,0.0,2,38.0
F011,21,37,21.0,37.0,0.0,2,38.0
F012,18,37,18.0,37.0,0.0,2,38.0
F013,18,37,18.0,37.0,0.0,2,38.0
F014,17,36,17.0,36.0,0.0,2,38.0
F015,20,36,20.0,36.0,0.0,2,38.0
F016,18,36,18.0,36.0,0.0,2,38.0
F017,21,37,21.0,37.0,0.0,2,38.0
F018,21,38,21.0,38.0,0.0,2,38.0
F019,20,36,20.0,36.0,0.0,2,38.0
F020,18,37,18.0,37.0,0.0,2,38.0
F021,21,37,21.0,37.0,0.0,2,38.0
F022,20,38,20.0,38.0,0.0,2,38.0
F023,18,36,18.0,36.0,0.0,2,38.0
F024,18,37,18.0,37.0,0.0,2,38.0
F025,18,37,18.0,37.0,0.0,2,38.0
